rainfall_mm_hr,soil_moisture_pct,tilt_deg,vegetation_change_pct,satellite_risk_index,landslide_next_6h
92.87,57.89,1.12,26.67,0.741,1
52.67,59.79,3.53,24.44,0.566,0
103.03,71.78,3.31,9.75,0.755,1
83.68,59.26,4.18,24.81,0.863,1
11.3,28.81,2.24,33.19,0.244,1
117.07,80.36,0.26,3.2,0.97,1
91.34,73.5,4.92,11.42,0.993,1
94.33,55.45,2.99,8.21,0.605,1
15.37,19.42,5.21,13.76,0.178,1
54.05,62.58,0.87,25.98,0.423,0
44.5,40.08,0.11,16.6,0.234,0
111.21,58.04,1.99,19.98,0.92,1
77.26,65.09,3.65,11.0,0.792,1
98.73,74.99,3.15,4.95,1.0,1
53.21,30.58,6.48,9.34,0.675,0
27.27,40.02,3.02,30.09,0.416,0
66.55,63.77,4.24,21.08,0.859,1
7.66,32.94,4.75,13.23,0.394,0
99.32,77.28,0.17,27.65,0.769,1
75.8,42.26,4.12,2.26,0.862,1
90.97,69.91,2.76,8.89,0.812,1
42.54,40.51,3.37,8.05,0.446,0
116.48,71.62,0.8,34.49,0.753,1
107.17,83.68,6.26,24.71,1.0,1
93.41,84.78,7.54,21.62,1.0,1
23.36,57.04,0.18,0.17,0.308,0
56.01,65.98,4.81,6.45,0.849,1
5.26,26.05,6.11,22.24,0.121,0
18.51,37.56,2.28,13.29,0.302,0
81.97,71.09,6.3,32.35,0.894,1
89.37,66.67,5.06,26.77,0.784,1
116.1,78.81,7.43,15.66,1.0,1
39.1,52.48,7.85,26.23,0.676,1
44.46,44.29,0.34,34.14,0.335,1
56.35,41.6,3.56,16.13,0.566,0
22.74,30.26,4.38,22.49,0.149,0
15.59,39.62,1.17,32.15,0.166,0
57.08,50.72,2.69,8.7,0.68,0
27.23,41.34,7.9,31.03,0.515,1
80.38,69.21,0.13,3.41,0.538,1
52.46,44.11,3.62,22.7,0.711,0
99.92,79.04,6.74,27.4,1.0,1
84.03,67.36,2.59,21.51,0.81,1
37.48,27.05,3.84,17.34,0.377,1
99.87,87.25,7.82,21.61,1.0,1
96.57,62.45,3.8,5.31,0.746,1
46.5,26.06,1.05,7.54,0.242,0
34.6,28.03,0.41,9.45,0.158,0
81.9,49.6,7.56,20.92,0.803,1
16.77,33.17,2.13,15.47,0.155,0
23.99,32.51,4.03,8.56,0.202,0
0.88,21.36,0.73,30.9,0.131,0
94.43,74.93,3.39,13.09,0.886,1
79.78,64.98,7.44,15.61,1.0,0
84.62,66.87,4.02,14.34,0.727,1
93.69,72.08,7.77,6.37,1.0,1
55.07,57.18,2.07,25.61,0.586,1
68.25,30.42,4.04,15.7,0.574,1
16.78,28.18,6.88,0.57,0.542,0
13.74,5.02,3.59,33.74,0.322,0
80.21,61.53,2.24,28.55,0.735,1
56.53,50.38,6.84,25.32,0.694,1
67.83,68.07,3.12,30.42,0.648,1
91.8,80.56,4.25,31.74,0.733,1
76.17,61.71,7.81,11.81,0.802,1
66.43,48.89,1.49,21.38,0.48,0
67.1,61.02,2.41,21.31,0.5,0
36.47,35.08,0.25,9.36,0.362,0
3.7,26.65,3.13,7.77,0.376,0
52.41,60.42,1.6,3.99,0.419,0
25.75,29.89,5.44,23.08,0.48,0
49.02,56.73,1.45,27.33,0.368,0
102.41,79.21,5.4,26.63,0.955,1
28.07,26.18,2.11,11.07,0.229,0
7.0,39.84,2.84,7.18,0.354,0
33.77,48.58,2.79,15.88,0.361,0
35.23,42.08,5.73,19.14,0.667,1
79.43,51.6,3.73,32.17,0.689,1
66.84,44.77,2.89,30.62,0.521,0
94.07,60.88,6.82,32.06,0.796,1
79.72,67.38,4.58,29.76,0.837,1
48.77,35.48,1.71,33.76,0.538,0
97.68,74.21,7.2,16.29,1.0,1
20.04,19.12,2.74,1.66,0.542,0
2.73,23.78,0.31,2.92,0.277,0
10.81,31.18,3.96,13.66,0.279,0
86.68,93.35,0.99,9.02,0.746,1
55.43,33.41,1.91,5.95,0.521,1
19.35,51.37,5.98,33.36,0.407,1
60.13,53.85,1.05,6.84,0.662,0
18.28,38.16,6.46,33.58,0.52,0
83.56,64.02,7.5,26.63,0.962,1
53.54,54.43,4.85,22.43,0.726,1
45.72,43.73,5.68,23.66,0.808,0
36.18,58.73,5.71,11.6,0.626,0
75.63,53.56,7.94,22.62,0.861,1
43.42,58.12,2.73,6.53,0.701,0
10.52,22.0,1.3,32.82,0.294,0
14.16,30.65,4.15,10.56,0.301,0
115.43,64.08,4.27,8.93,0.962,1
109.03,79.52,1.42,24.89,0.891,1
83.96,80.13,4.9,22.98,0.927,1
31.9,38.43,0.11,15.8,0.129,0
116.3,74.97,7.42,22.14,0.943,1
93.45,53.68,2.12,5.58,0.624,0
86.03,60.96,0.32,23.57,0.53,0
53.92,30.15,0.87,9.47,0.328,0
32.67,28.75,1.92,9.55,0.412,0
11.57,32.93,2.19,5.68,0.235,0
108.31,89.57,0.26,11.63,0.874,1
54.69,83.32,2.23,11.59,0.494,1
24.28,28.89,1.54,15.9,0.224,0
36.71,58.75,3.03,6.66,0.571,0
69.51,59.2,3.08,6.76,0.74,1
21.21,32.73,2.71,18.96,0.237,0
102.79,76.45,2.62,4.51,0.893,1
91.02,66.7,0.72,24.11,0.97,1
86.34,65.18,0.2,33.04,0.655,1
51.85,43.43,1.62,14.94,0.386,0
75.28,42.1,6.05,31.54,0.738,0
70.09,38.02,7.93,3.44,0.805,0
77.98,67.93,7.43,1.5,0.895,1
10.13,26.24,4.03,25.25,0.296,0
49.9,40.3,4.25,26.64,0.381,0
4.99,27.35,2.52,29.51,0.101,0
59.28,61.21,6.19,1.99,0.73,1
39.58,44.98,6.12,27.19,0.573,1
17.34,24.93,6.75,13.18,0.372,0
12.41,45.3,7.16,10.62,0.478,0
70.52,75.68,3.47,6.06,0.751,1
20.47,40.15,6.14,34.86,0.588,0
111.01,86.64,6.45,2.23,1.0,1
69.73,71.28,2.47,28.95,0.733,1
41.62,57.29,7.43,22.38,0.631,1
70.91,64.28,0.75,25.73,0.668,1
2.74,33.41,7.95,24.91,0.488,0
115.03,83.0,6.16,30.05,1.0,1
57.88,37.88,0.75,6.43,0.531,0
93.93,75.68,5.25,0.03,1.0,1
9.93,13.2,0.27,20.95,0.093,0
58.4,41.74,6.16,12.39,0.707,1
58.88,67.14,6.39,4.33,0.902,1
112.54,85.73,4.82,6.51,0.963,1
68.61,73.72,6.85,11.61,0.788,1
56.82,47.31,0.78,2.46,0.495,1
32.04,25.59,2.21,1.99,0.384,0
39.79,40.02,3.31,32.06,0.366,0
62.48,54.34,0.34,10.92,0.498,1
52.67,49.65,3.59,34.38,0.561,0
2.59,39.77,2.12,33.75,0.0,0
99.16,65.28,3.14,4.99,0.813,1
107.54,77.62,3.4,25.02,0.914,1
16.83,20.71,7.04,21.03,0.415,0
66.48,60.32,2.16,24.17,0.79,0
13.03,30.9,7.15,3.37,0.308,1
80.67,52.3,3.41,6.6,0.615,1
33.75,37.36,2.62,2.68,0.085,0
79.13,58.4,4.02,21.14,0.693,0
87.24,61.02,3.34,34.53,0.726,1
92.24,87.76,2.06,23.52,0.775,1
12.93,29.64,4.02,24.88,0.457,0
109.92,71.54,1.21,34.46,0.94,1
27.63,12.26,2.82,23.73,0.301,0
4.49,16.29,4.53,1.41,0.213,0
66.58,51.81,3.31,30.35,0.761,1
44.51,36.8,6.59,12.76,0.606,0
99.57,86.39,2.05,0.15,0.77,0
96.99,66.67,7.76,17.75,0.812,1
38.06,57.59,6.28,32.8,0.58,1
114.35,77.2,7.74,9.01,1.0,1
34.91,41.16,6.71,17.2,0.853,0
61.81,51.75,1.14,6.08,0.534,1
30.72,38.87,4.21,2.02,0.36,1
112.33,96.17,1.36,2.82,0.794,1
19.75,6.05,6.55,25.45,0.447,0
5.39,3.41,4.67,30.24,0.013,0
